"","transport","."
"1","voi","-3 !!!                                                    -3 !!!! Jeres vognmand larmer konstant! Kører rundt i gaderne midt om natten, med ustyrligt højt musik! Plus jeres faste placeringning af jeres løbehjul, er vanvittigt dårligt lavet, ude foran vinduer, så man ikke har mulighed for søvn, super fedt, tak!"
"2","voi","Sindsygt dyrt!                                                    Det er billigere at betale for 2 bus-zoner der dækker hele Aalborg, end at køre 3km på et VOI. De er kun for sjov, ikke reel transport for raske mennesker der kan gå selv.Appen virkede ok."
"3","voi","Trukket penge ulovligt                                                    Har trukket penge på mit kort uden at jeg nogensinde har brugt dem. Yderligere er der næsten ingen måder at kontakte dem på."
"4","voi","Scam app                                                    Scam app. De trækker penge flere gange og påstår at du lyver. Kundeservice er ikke eksisterende, utroligt at dette stadig kan forekomme i et land som Danmark. Svindelvirksomhed af største kaliber"
"5","voi","Scam og tyveri                                                    Scam og tyveri. Selvom man har betalt 800kr for 3 mdr abonnement, kan man stå og skulle på arbejde, for så bare at opdage sin konto er blevet slettet. Når man kontakter kundeservice bliver man nærmest beskyldt for at lyve, trods billededokument for overførslen. Så vi har betalt 800kr, som bare er “forsvundet”. Usselt tyveri"
"6","voi","VOI partnere i vanvidskørsel på Aarhus…                                                    VOI partnere i vanvidskørsel på Aarhus Ø. Bernhard Jensens Boulevard25/1-20 kl. 01:15Hvid kassevognReg. nr. CM 97948Mindst 100 km/t på Bernhard Jensens Boulevard (Bymæssig bebyggelse) og ræsende ind i p-område for at hente el-løbehjul Meget høj musik i beboelsesområde.På alle måder hensynsløst."
"7","voi","Første og sidst gang jeg skal prøve dem…                                                    Første og sidst gang jeg skal prøve dem for dyr og de træk to gang fra mig"
"8","voi","service teknikker blokerede for andre bilister                                                    En af deres service teknikker blokerede Brendstrupvej ved Stjernepladsen med sin bil mens han servicerede løbehjulerne i aftes. Selvom han spærrede vejen for flere andre bilister gik han upåvirkede og sagde at vi kunne bare vente “5 minutter” ind til han var færdig. Der var andre lovlig parkeringsmuligheder til sted som han kunne har brugt. Der varede ikke lang tid men attituden var usympatisk."
"9","voi","DET ER FOR RINGE                                                    i august var jeg over at besøge min søster da jeg opdager de har tager 400 kr for et voi pass jeg ikke har købt det er godt nok for ringe"
"10","voi","Brug ikke dette firma                                                    Min søn kørte en tur på ca. 2*2 km......det kostede kr. 158. En taxi havde været billigere. Hold jer langt væk fra dette firma"
"11","voi","Besværlig og dyr tur                                                    Prøvede for første gang i weekenden. Jeg skulle godt nok gå langt for at finde den nærmest ledige og da jeg skulle parkere den var jeg lige pludselig i No Parking Zone. Det endte med at blive en besværlig og dyr tur."
"12","voi","Dobbeltpris og ustabilt…                                                    Kørte en tur med min ven for første gang på elløbehjul. Han på Tier jeg på Voi. Mit kørte ustabilt og hans helt smooth. Da vi satte dem igen efter en time var prisen : Tier : 60 kr. Voi : 105 kr. Tag et Lime eller Tier løbehjul hvis I skal afsted og ikke vil betale overpris!"
"13","voi","For mange maskiner der ikke virker."
"14","voi","virkelig dårlig service                                                    virkelig dårlig service. jeg fik lavet en måneds Voi Pass og det gik fint, indtil den udløb hvor de bare har trukket penge hver måned automatisk (i alt ca. 1000 kr). De siger det åbenbart er min skyld fordi jeg ikke har holdt øje med min voi kontovirkelig ikke noget jeg kan anbefale :("
"15","voi","Meget dyrt                                                    Meget dyrt. Går tit “tør” for strøm så den kører mega langsomt. Men gode forlygter om natten!"
"16","voi","Snyd                                                    Jeg købte et voi pass til 399kr. Og de valgte at tage det fra mig ""for at bruge det for meget"" det er simpelthen ikke okay🤬🤬"
"17","voi","I lovede 5 credit hvis en kammerat…                                                    I lovede 5 credit hvis en kammerat brugte mit link og betalte for en tur. Det gjorde han så, og fik aldrig de 5+2,5 credit (75kr)."
"18","voi","Virker ikke ordentligt                                                    Virker ikke ordentligt, holder jævnligt op med at virke under turen, virkelig ringe kundeservice 👎"
"19","voi","Pas på! De trækker penge på din konto for ikke kørte ture                                                    Elendig service!!Er to uger i træk blevet trukket hhv 200 og 250 kr. for ture jeg aldrig har taget. Har nu brugt 1½ måned på at forklare og sendt dokumentation til kundeservice at jeg ikke har kørt disse ture. Jeg tror de bevidst trækker sagen i langdrag for at trætte kunden."
"20","voi","Don’t do it                                                    Don’t do it. Læs lige alle de dårlige anmeldelser, fup og fiduser.Kunne aldrig drømme om at anbefale, køb derimod hellere dit eget."
"21","voi","Var ellers lige så glad for VOI                                                    Var ellers lige så glad for VOI. Har brugt dem en del. Men nu har jeg fået nok.Man kan købe et døgns pass ... og der står godt nok noget om, at man på enkelte ture ikke må køre mere end 45 min. Jeg vaar sikker på, at man fik en notifikation eller lignende, eller at scooteren måske stoppede for at gøre opmærksom på, at nu var de 45 min. tæt på.Vi var kørt til skovsøen i odense. Vi kunne ikke stoppe turen, da det var udenfor området. Men vi tænkte ... ok vi tager lige en kop kaffe ... uden at slukke dem.Ingen notifikationer eller noget ... de slukkede bare og vi måtte slæbe dem til et område indenfor det aktive område ... for at kunne aktivere dem igen.Ligeledes ... hvad er fidusen, skal man køre på løbehjul og samtidig kigge på sit ur/smartphone... for at holde øje med tiden?Det fjerner helt den glæde man kan føle ved at købe et døgns pass. Jeg ville ikke have noget imod, at scooteren stoppede, for at man selv kunne forlænge mod betaling efter de 45 min. Eller at man skulle klikke på accepter på mobilen eller lignende.Nu er vi begge blevet opkrævet adskillige gange for den weekend, jeg er færdig med VOI."
"22","voi","6-eller 7 løbehjul senere.--Aarhus                                                    6-eller 7 løbehjul senere.--AarhusOk, jeg har stadig ikke prøvet et løbehjul endnu.!Alle hjul jeg har prøvet virker ikke.Så.. don't recommend"
"23","voi","Jeg købte et 24 timers pas for 99 kr                                                    Jeg købte et 24 timers pas for 99 kr - skulle bare ud på en tur på et par timer men det så ud til at kunne betale sig. Jeg blir istedet trukket både 99 og 74 kr for en tur på 82 min I alt - da en tur Maks må være 45 min af gangen på et 24 timers pas. Det står åbenbart med småt et eller andet sted ifølge deres support. Jeg har efterfølgende forsøgt at fjerne mit dankort fra app'en så man ikke bliver trukket endnu mere. Det kan man så ikke - man skal skrive til deres support og man får ikke en bekræftelse på at det er fjernet. Jeg havde en vildt fed tur på løbehjulet - alt andet er dybt kritisabelt."
"24","voi","De har efter 4 dage trukket yderligere…                                                    De har efter 4 dage trukket yderligere 499 kr fra min konto. Selvom de i forvejen havde trukket 32 kr, for en meget kort tur. Oplevelsen var ellers virkelig fed indtil jeg tjekkede kontoen for de ekstra trukket penge👎🏻"
"25","voi","250 kr                                                    250 kr. for en tur på halvanden minut det er absolut ringe!!!! 😡😡😡😡"
"26","voi","Lejede Voi et døgn i Kbh                                                    Lejede Voi et døgn i Kbh. For 99 krDet fungerede perfekt. Fed måde at komme rundt i byen😊"
"27","voi","De ødelægger vores by                                                    De ødelægger vores by med deres ansvarsfralæggende lortemaskiner. Synes I skal kigge jer selv i spejlet, luk det og få et nyt arbejde."
"28","voi","Anbefales ikke                                                    Kan ikke anbefales - dyrt 😳Kunne ikke aflevere i p-zone da den var placeret i en bygning. Blev derfor trukket ekstra."
